Event Naam,Event Id,Klant Id,Data
view_item_list,10,,"{""item_list_id"":""Profielen"",""item_list_name"":""Profielen"",""items"":[{""item_id"":""4858_4266"",""item_name"":""Vurenhout SLS 89x38 mm  A"",""currency"":""EUR"",""item_category"":""Vurenhouten SLS"",""price"":""9.17"",""item_brand"":""No brand"",""quantity"":""1""}]}"
view_item_list,10,,"{""item_list_id"":""Geperforeerd rond"",""item_list_name"":""Geperforeerd rond"",""items"":[{""item_id"":""980_3981"",""item_name"":""geperforeerd staal 1000x500x1,5  Rond 5mm  A"",""currency"":""EUR"",""item_category"":""Geperforeerd rond"",""price"":""33.28"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""981_3989"",""item_name"":""geperforeerd staal 1000x500x1,5  Rond 10mm  A"",""currency"":""EUR"",""item_category"":""Geperforeerd rond"",""price"":""30.86"",""item_brand"":""No brand"",""quantity"":""1""}]}"
view_item,10,,"{""currency"":""EUR"",""value"":""22.18"",""items"":[{""item_id"":""967_3597"",""item_name"":""plaat staal 500 x 1000 x 1.50mm  A"",""currency"":""EUR"",""item_category"":""Staalplaat"",""price"":""22.18"",""item_brand"":""No brand""}]}"
view_item_list,,,"{""item_list_id"":""Staalplaat"",""item_list_name"":""Staalplaat"",""items"":[{""item_id"":""965_3585"",""item_name"":""plaat staal 500 x 1000 x 0.75mm  A"",""currency"":""EUR"",""item_category"":""Staalplaat"",""price"":""13.22"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""966_3591"",""item_name"":""plaat staal 500 x 1000 x 1.00mm  A"",""currency"":""EUR"",""item_category"":""Staalplaat"",""price"":""16.12"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""967_3597"",""item_name"":""plaat staal 500 x 1000 x 1.50mm  A"",""currency"":""EUR"",""item_category"":""Staalplaat"",""price"":""22.18"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""968_3603"",""item_name"":""plaat staal 500 x 1000 x 2.00mm  A"",""currency"":""EUR"",""item_category"":""Staalplaat"",""price"":""28.24"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""969_3609"",""item_name"":""plaat staal 500 x 1000 x 2.50mm  A"",""currency"":""EUR"",""item_category"":""Staalplaat"",""price"":""34.39"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""970_3615"",""item_name"":""plaat staal 500 x 1000 x 3.00mm  A"",""currency"":""EUR"",""item_category"":""Staalplaat"",""price"":""40.55"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""971_3621"",""item_name"":""plaat staal 500 x 1000 x 4.0mm  A"",""currency"":""EUR"",""item_category"":""Staalplaat"",""price"":""47.38"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""972_3627"",""item_name"":""plaat staal 500 x 1000 x 5.0mm  A"",""currency"":""EUR"",""item_category"":""Staalplaat"",""price"":""58.32"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""973"",""item_name"":""plaat staal 500 x 1000 x 6.0mm  A"",""currency"":""EUR"",""item_category"":""Staalplaat"",""price"":""69.26"",""item_brand"":""No brand"",""quantity"":""1""}]}"
view_item_list,10,,"{""item_list_id"":""Geperforeerd rond"",""item_list_name"":""Geperforeerd rond"",""items"":[{""item_id"":""980_3981"",""item_name"":""geperforeerd staal 1000x500x1,5  Rond 5mm  A"",""currency"":""EUR"",""item_category"":""Geperforeerd rond"",""price"":""33.28"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""981_3989"",""item_name"":""geperforeerd staal 1000x500x1,5  Rond 10mm  A"",""currency"":""EUR"",""item_category"":""Geperforeerd rond"",""price"":""30.86"",""item_brand"":""No brand"",""quantity"":""1""}]}"
view_cart,10,,"{""currency"":""EUR"",""value"":""33.28"",""items"":[{""item_id"":""980_3981"",""item_name"":""geperforeerd staal 1000x500x1,5  Rond 5mm  A"",""currency"":""EUR"",""item_category"":""Geperforeerd rond"",""price"":""33.28"",""item_brand"":""No brand"",""quantity"":""1""}]}"
view_item_list,,,"{""item_list_id"":""Aluminium blok"",""item_list_name"":""Aluminium blok"",""items"":[{""item_id"":""993"",""item_name"":""aluminium blok 100x50x25mm "",""currency"":""EUR"",""item_category"":""Aluminium blok"",""price"":""10.82"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""995"",""item_name"":""aluminium blok 200x100x50mm "",""currency"":""EUR"",""item_category"":""Aluminium blok"",""price"":""58.08"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""994"",""item_name"":""aluminium blok 100x100x50mm "",""currency"":""EUR"",""item_category"":""Aluminium blok"",""price"":""29.79"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""1033"",""item_name"":""aluminium blok 50x50x100mmm "",""currency"":""EUR"",""item_category"":""Aluminium blok"",""price"":""14.81"",""item_brand"":""No brand"",""quantity"":""1""}]}"
view_item_list,,,"{""item_list_id"":""Cortenstaal"",""item_list_name"":""Cortenstaal"",""items"":[{""item_id"":""984_3801"",""item_name"":""CorTen staal 500 x 1000 x 2mm  A"",""currency"":""EUR"",""item_category"":""Cortenstaal"",""price"":""26.81"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""964_3795"",""item_name"":""CorTen staal 500 x 1000 x 3mm  A"",""currency"":""EUR"",""item_category"":""Cortenstaal"",""price"":""38.43"",""item_brand"":""No brand"",""quantity"":""1""}]}"
view_item,10,,"{""currency"":""EUR"",""value"":""69.79"",""items"":[{""item_id"":""1323_2015"",""item_name"":""rvs L-profiel 50x50x5mm  A"",""currency"":""EUR"",""item_category"":""L-Profiel"",""price"":""69.79"",""item_brand"":""No brand""}]}"
view_item,10,,"{""currency"":""EUR"",""value"":""22.18"",""items"":[{""item_id"":""967_3597"",""item_name"":""plaat staal 500 x 1000 x 1.50mm  A"",""currency"":""EUR"",""item_category"":""Staalplaat"",""price"":""22.18"",""item_brand"":""No brand""}]}"
view_item,10,,"{""currency"":""EUR"",""value"":""22.18"",""items"":[{""item_id"":""967_3597"",""item_name"":""plaat staal 500 x 1000 x 1.50mm  A"",""currency"":""EUR"",""item_category"":""Staalplaat"",""price"":""22.18"",""item_brand"":""No brand""}]}"
view_item,10,,"{""currency"":""EUR"",""value"":""22.18"",""items"":[{""item_id"":""967_3597"",""item_name"":""plaat staal 500 x 1000 x 1.50mm  A"",""currency"":""EUR"",""item_category"":""Staalplaat"",""price"":""22.18"",""item_brand"":""No brand""}]}"
view_item,10,,"{""currency"":""EUR"",""value"":""48.77"",""items"":[{""item_id"":""1104_517"",""item_name"":""stalen plat 50 x 20mm, lengte 1000mm  A"",""currency"":""EUR"",""item_category"":""Blank plat"",""price"":""48.77"",""item_brand"":""No brand""}]}"
view_item_list,,,"{""item_list_id"":""Traanplaat"",""item_list_name"":""Traanplaat"",""items"":[{""item_id"":""974"",""item_name"":""aluminium traanplaat 500 x 1000 x 2,4-4mm "",""currency"":""EUR"",""item_category"":""Traanplaat"",""price"":""43.86"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""975"",""item_name"":""aluminium traanplaat 500 x 1000 x 3,5-5mm "",""currency"":""EUR"",""item_category"":""Traanplaat"",""price"":""56.87"",""item_brand"":""No brand"",""quantity"":""1""}]}"
view_item_list,,,"{""item_list_id"":""Zincor autoplaat"",""item_list_name"":""Zincor autoplaat"",""items"":[{""item_id"":""976_3687"",""item_name"":""plaat zincor 500 x 1000 x 0.8mm  A"",""currency"":""EUR"",""item_category"":""Zincor autoplaat"",""price"":""17.31"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""948_3669"",""item_name"":""plaat zincor 500 x 1000 x 1,0mm  A"",""currency"":""EUR"",""item_category"":""Zincor autoplaat"",""price"":""20.19"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""949_3675"",""item_name"":""plaat zincor 500 x 1000 x 1.5mm  A"",""currency"":""EUR"",""item_category"":""Zincor autoplaat"",""price"":""28.84"",""item_brand"":""No brand"",""quantity"":""1""},{""item_id"":""950_3681"",""item_name"":""plaat zincor 500 x 1000 x 2.0mm  A"",""currency"":""EUR"",""item_category"":""Zincor autoplaat"",""price"":""37.21"",""item_brand"":""No brand"",""quantity"":""1""}]}"
